번호,학과명,대출일자,입학년도,서명,출판년도,저자,출판사,청구기호
AJ1109060,물리학전공,20131106,2013,미생물학,2004,최호형,아카데미서적,576 최95미
AJ1107655,화학전공,20140108,2010,미생물학,2003,"Prescott, Lansing M",라이프사이언스,576 P931m5K김라
AJ1107890,수학전공,20140706,2012,분자생물학,2006,"Malacinski, George M",월드사이언스,574.88 M236e4K심
AJ1107647,물리학전공,20130104,2010,분자생물학,2006,"Malacinski, George M",월드사이언스,574.88 M236e4K심
AJ1108114,물리학전공,20140117,2011,유전자 클로닝 입문,2004,"Brown, T. A",월드 사이언스,574.87322 B881g4K강
AJ1109060,물리학전공,20131016,2013,(필수) 세포생물학,2006,"Alberts, Bruce",교보문고,574.87 E78a2K박
AJ1105163,화학전공,20130614,2010,세포학,2006,"Cooper, Geoffrey M",월드사이언스,574.87 C776c3K전
AJ1102276,수학전공,20120417,2008,세포학,2006,"Cooper, Geoffrey M",월드사이언스,574.87 C776c3K전
AJ1106263,수학전공,20110607,2009,세포학,2006,"Cooper, Geoffrey M",월드사이언스,574.87 C776c3K전
AJ1103504,화학전공,20130930,2008,효소반응속도론,1988,서정헌,民音社,574.1925 서74효
AJ1106341,화학전공,20120330,2011,신판 실험생화학,1989,한국생화학회 교재편찬위원회,探求堂,574.192073 한16신
AJ1109060,물리학전공,20131016,2013,생물학 실험서,2004,민철기,라이프 사이언스,574.0724 민83생
AJ1106263,수학전공,20110701,2009,생물학 실험서,2004,민철기,라이프 사이언스,574.0724 민83생
AJ1107510,수학전공,20120906,2012,일반생물학실험,2001,권혁빈,유한문화사,574.072 일42권유
AJ1109056,물리학전공,20130501,2013,生物學實驗,1987,한국생물과학협회,아카데미서적,574.07 한16생
AJ1109162,화학전공,20130318,2013,生物學實驗,1987,한국생물과학협회,아카데미서적,574.07 한16생
AJ1106341,화학전공,20120402,2011,효소반응속도론,2005,"Marangoni, Alejandro G",월드사이언스,572.7 M311eK김
AJ1109153,화학전공,20130319,2013,(레닌저) 생화학,2010,"Nelson, David L",월드사이언스,572 N425L5K백
AJ1106341,화학전공,20120413,2011,(레닌저) 생화학,2010,"Nelson, David L",월드사이언스,572 N425L5K백
AJ1104223,화학전공,20141205,2010,(최신) 생화학,2009,"McKee, Trudy",교보문고,572 M478b4K박
AJ1104219,화학전공,20130912,2010,(최신) 생화학,2009,"McKee, Trudy",교보문고,572 M478b4K박
AJ1108079,화학전공,20130321,2013,(최신) 생화학,2009,"McKee, Trudy",교보문고,572 M478b4K박
AJ1110671,수학전공,20140923,2014,식물생리학,2005,"Taiz, Lincoln",라이프사이언스,571.2 T135p3K전
