번호,학과명,대출일자,입학년도,서명,출판년도,저자,출판사,청구기호
AJ1101586,전자공학전공,20110711,2008,로마인 이야기,2007,염야칠생,한길사,937 염62gK김
AJ1103947,미디어학과,20110627,2009,로마인 이야기,2007,염야칠생,한길사,937 염62gK김
AJ1100622,사학전공,20110602,2006,로마인 이야기,2007,염야칠생,한길사,937 염62gK김
AJ1103276,정치외교학전공,20110428,2009,로마인 이야기,2007,염야칠생,한길사,937 염62gK김
AJ1100871,경제학전공,20110512,2007,로마인 이야기,2007,염야칠생,한길사,937 염62gK김
AJ1108702,건축학과,20140902,2013,서양 고대 문명의 역사,2003,"Blois, Lukas De",다락방,930 B652eK윤
AJ1105508,심리학전공,20141111,2010,서양 고대 문명의 역사,2003,"Blois, Lukas De",다락방,930 B652eK윤
AJ1106007,경제학전공,20140918,2011,서양 고대 문명의 역사,2003,"Blois, Lukas De",다락방,930 B652eK윤
AJ1105245,금융공학전공,20141014,2011,서양 고대 문명의 역사,2003,"Blois, Lukas De",다락방,930 B652eK윤
AJ1109547,간호학부,20131121,2013,서양 고대 문명의 역사,2003,"Blois, Lukas De",다락방,930 B652eK윤
AJ1100626,화학전공,20131212,2007,서양 고대 문명의 역사,2003,"Blois, Lukas De",다락방,930 B652eK윤
AJ1107247,화학전공,20131127,2012,서양 고대 문명의 역사,2003,"Blois, Lukas De",다락방,930 B652eK윤
AJ1109514,간호학부,20131008,2013,서양 고대 문명의 역사,2003,"Blois, Lukas De",다락방,930 B652eK윤
AJ1101120,화학전공,20130319,2007,서양 고대 문명의 역사,2003,"Blois, Lukas De",다락방,930 B652eK윤
AJ1106186,산업공학전공,20120920,2011,서양 고대 문명의 역사,2003,"Blois, Lukas De",다락방,930 B652eK윤
AJ1107816,간호학부,20120417,2012,서양 고대 문명의 역사,2003,"Blois, Lukas De",다락방,930 B652eK윤
AJ1100661,물리학전공,20120417,2007,서양 고대 문명의 역사,2003,"Blois, Lukas De",다락방,930 B652eK윤
AJ1104944,간호학부,20120911,2010,서양 고대 문명의 역사,2003,"Blois, Lukas De",다락방,930 B652eK윤
AJ1105979,간호학부,20120312,2011,서양 고대 문명의 역사,2003,"Blois, Lukas De",다락방,930 B652eK윤
AJ1104101,경제학전공,20140806,2010,Enjoy 오사카,2007,최영민,넥서스BOOKS,915.3 최64e
AJ1107900,간호학부,20141111,2012,Enjoy 오사카,2007,최영민,넥서스BOOKS,915.3 최64e
AJ1104140,응용화학생명공학전공,20140514,2010,Enjoy 오사카,2007,최영민,넥서스BOOKS,915.3 최64e
AJ1104244,기계공학과,20140808,2010,Enjoy 오사카,2007,최영민,넥서스BOOKS,915.3 최64e
AJ1101827,전자공학전공,20140122,2008,Enjoy 오사카,2007,최영민,넥서스BOOKS,915.3 최64e
AJ1108285,문화콘텐츠학전공,20130724,2011,Enjoy 오사카,2007,최영민,넥서스BOOKS,915.3 최64e
AJ1107367,전자공학전공,20130701,2010,Enjoy 오사카,2007,최영민,넥서스BOOKS,915.3 최64e
AJ1105662,간호학부,20130216,2010,Enjoy 오사카,2007,최영민,넥서스BOOKS,915.3 최64e
AJ1101621,기계공학과,20130306,2008,Enjoy 오사카,2007,최영민,넥서스BOOKS,915.3 최64e
AJ1105403,정보컴퓨터공학전공,20141215,2010,(클로즈업) 오사카,2012,유재우,에디터,915.3 유73오개증3
AJ1101582,전자공학전공,20141001,2008,(클로즈업) 오사카,2012,유재우,에디터,915.3 유73오개증3
AJ1104838,심리학전공,20140428,2010,(클로즈업) 오사카,2012,유재우,에디터,915.3 유73오개증3
AJ1104101,경제학전공,20140806,2010,(클로즈업) 오사카,2012,유재우,에디터,915.3 유73오개증3
AJ1101827,전자공학전공,20140122,2008,(클로즈업) 오사카,2012,유재우,에디터,915.3 유73오개증3
AJ1101226,e-비즈니스학전공,20131204,2007,(클로즈업) 오사카,2012,유재우,에디터,915.3 유73오개증3
AJ1108818,미디어학과,20130819,2013,(클로즈업) 오사카,2012,유재우,에디터,915.3 유73오개증3
AJ1102935,전자공학전공,20150113,2009,(클로즈업) 오사카,2010,유재우,에디터,915.3 유73오
AJ1104140,응용화학생명공학전공,20140514,2010,(클로즈업) 오사카,2010,유재우,에디터,915.3 유73오
AJ1104714,영어영문학전공,20130515,2009,(클로즈업) 오사카,2010,유재우,에디터,915.3 유73오
AJ1101011,산업공학전공,20130123,2007,(클로즈업) 오사카,2010,유재우,에디터,915.3 유73오
AJ1102485,경영학전공,20121206,2009,(클로즈업) 오사카,2010,유재우,에디터,915.3 유73오
AJ1101621,기계공학과,20130306,2008,(클로즈업) 오사카,2010,유재우,에디터,915.3 유73오
AJ1105709,경영학전공,20141024,2011,오사카,2013,부루가이도편집부,시공사,915.3 실64오개4
AJ1103201,의학전공,20140327,2009,오사카,2013,부루가이도편집부,시공사,915.3 실64오개4
AJ1103899,전자공학전공,20140623,2009,오사카,2013,부루가이도편집부,시공사,915.3 실64오개4
AJ1109043,전자공학전공,20140611,2013,오사카,2013,부루가이도편집부,시공사,915.3 실64오개4
AJ1104101,경제학전공,20140806,2010,오사카,2010,실업지일본사. 부루가이도편집부,시공사,915.3 실64오개2
AJ1104140,응용화학생명공학전공,20140813,2010,오사카,2010,실업지일본사. 부루가이도편집부,시공사,915.3 실64오개2
AJ1109806,사학전공,20140714,2014,오사카,2010,실업지일본사. 부루가이도편집부,시공사,915.3 실64오개2
AJ1104244,기계공학과,20140920,2010,홍콩,2007,환타,중앙북스,915.293504 환882홍
AJ1104944,간호학부,20141016,2010,홍콩,2007,환타,중앙북스,915.293504 환882홍
AJ1107521,신소재공학전공,20130603,2012,홍콩,2007,환타,중앙북스,915.293504 환882홍
AJ1100464,산업공학전공,20130914,2006,홍콩,2007,환타,중앙북스,915.293504 환882홍
AJ1102858,전자공학전공,20131010,2009,홍콩,2007,환타,중앙북스,915.293504 환882홍
AJ1109542,간호학부,20140613,2013,(New) 내일로 기차로,2013,권다현,테라,915.1904 권22내2013
AJ1101768,심리학전공,20150204,2008,(New) 내일로 기차로,2013,권다현,테라,915.1904 권22내2013
AJ1105206,정보컴퓨터공학전공,20141128,2010,(New) 내일로 기차로,2013,권다현,테라,915.1904 권22내2013
AJ1108443,응용화학생명공학전공,20140305,2013,(New) 내일로 기차로,2013,권다현,테라,915.1904 권22내2013
AJ1109399,경제학전공,20140107,2013,(New) 내일로 기차로,2013,권다현,테라,915.1904 권22내2013
AJ1106460,기계공학과,20140521,2011,(New) 내일로 기차로,2012,권다현,테라,915.1904 권22내2012
AJ1105662,간호학부,20130903,2010,(New) 내일로 기차로,2012,권다현,테라,915.1904 권22내2012
AJ1102789,응용화학생명공학전공,20140714,2009,내일로 기차로,2011,권다현,테라,915.1904 권22내
AJ1105597,수학전공,20140528,2010,내일로 기차로,2011,권다현,테라,915.1904 권22내
AJ1103442,기계공학과,20140808,2009,내일로 기차로,2011,권다현,테라,915.1904 권22내
AJ1101669,행정학전공,20140102,2008,내일로 기차로,2011,권다현,테라,915.1904 권22내
AJ1104483,화학공학전공,20130916,2010,내일로 기차로,2011,권다현,테라,915.1904 권22내
AJ1107802,의학전공,20120427,2012,내일로 기차로,2011,권다현,테라,915.1904 권22내
AJ1107158,경영학전공,20120608,2010,내일로 기차로,2011,권다현,테라,915.1904 권22내
AJ1104361,화학공학전공,20110823,2010,내일로 기차로,2011,권다현,테라,915.1904 권22내
AJ1105151,전자공학전공,20141119,2010,유럽,2007,홍수연,랜덤하우스코리아,914.04 홍56유영
AJ1104091,건설시스템공학전공,20140305,2010,유럽,2011,최철호,시공사,914.04 최83유
AJ1110519,산업공학전공,20150119,2014,유럽,2011,최철호,시공사,914.04 최83유
AJ1105215,정보컴퓨터공학전공,20140104,2010,유럽,2011,최철호,시공사,914.04 최83유
AJ1106911,건축공학전공,20121226,2010,유럽,2011,최철호,시공사,914.04 최83유
AJ1106216,산업공학전공,20140903,2011,Best of Europe 230,2013,장백관,테라,914.04 장43b
AJ1105661,간호학부,20140206,2010,Best of Europe 230,2013,장백관,테라,914.04 장43b
AJ1104431,불어불문학전공,20140219,2010,Best of Europe 230,2013,장백관,테라,914.04 장43b
AJ1103684,건축학과,20140117,2009,Best of Europe 230,2013,장백관,테라,914.04 장43b
AJ1105540,간호학부,20131125,2010,Best of Europe 230,2013,장백관,테라,914.04 장43b
AJ1106034,영어영문학전공,20140103,2011,Best of Europe 230,2013,장백관,테라,914.04 장43b
AJ1107918,간호학부,20131029,2012,Best of Europe 230,2013,장백관,테라,914.04 장43b
AJ1100807,물리학전공,20130826,2007,Best of Europe 230,2013,장백관,테라,914.04 장43b
AJ1101998,건설시스템공학전공,20130923,2008,Best of Europe 230,2013,장백관,테라,914.04 장43b
AJ1108570,약학전공,20131010,2011,Best of Europe 230,2013,장백관,테라,914.04 장43b
AJ1102538,전자공학전공,20130911,2009,Best of Europe 230,2013,장백관,테라,914.04 장43b
AJ1104528,경영학전공,20130924,2010,Best of Europe 230,2013,장백관,테라,914.04 장43b
AJ1106427,정보컴퓨터공학전공,20130710,2011,Best of Europe 230,2013,장백관,테라,914.04 장43b
AJ1104031,기계공학과,20140310,2010,(자신만만 세계여행) 유럽,2011,이미지,삼성,914.04 이38유개8
AJ1108264,경영학전공,20150107,2013,(자신만만 세계여행) 유럽,2011,이미지,삼성,914.04 이38유개8
AJ1105788,경영학전공,20140912,2011,(자신만만 세계여행) 유럽,2011,이미지,삼성,914.04 이38유개8
AJ1104705,화학공학전공,20141008,2011,(자신만만 세계여행) 유럽,2011,이미지,삼성,914.04 이38유개8
